temperature,Month,Year,rainfall
16.976,1,1901,18.5356
19.0642,1,1907,10.7854
19.2664,1,1938,10.5036
18.0893,1,1960,0.03981
17.9503,1,1997,9.95175
17.631,1,1974,5.48967
20.3262,1,2009,0.65574
16.8493,1,2012,17.7638
18.621,1,1922,6.28317
18.5036,1,1928,6.30357
18.7904,1,1946,0.81116
17.8455,1,1969,3.66924
18.3163,1,1981,23.5086
19.2634,1,1988,0.87756
18.1609,1,1993,9.06548
17.7704,1,1998,19.5979
18.1365,1,1913,1.3331
18.6312,1,1923,0.2034
18.8595,1,1948,4.94443
18.6476,1,1957,21.3908
18.5455,1,1902,1.29152
17.7023,1,1903,2.4001
17.8694,1,1916,0.81033
18.7213,1,1972,1.34663
18.0039,1,1983,11.3977
18.6933,1,1909,3.05691
18.2763,1,1912,2.25106
17.9754,1,1934,7.59007
18.2015,1,1945,25.9673
17.7866,1,1904,0.3257
17.267,1,1933,10.6943
18.0251,1,1927,17.809
18.5486,1,1950,0.95331
17.9709,1,1964,5.94211
18.5173,1,1942,5.14758
18.9055,1,1999,0.3407
17.4937,1,1917,0.37143
18.7903,1,1932,1.61393
18.2806,1,1956,12.145
19.1725,1,1979,11.8392
17.7546,1,2013,1.14107
19.0034,1,1921,25.5379
19.1684,1,2001,1.05632
18.0523,1,2011,4.69858
18.4881,1,1924,3.75275
17,1,1905,7.07224
18.1881,1,1971,11.8691
18.7317,1,1920,2.20118
18.5213,1,1959,25.2933
17.1308,1,1930,5.29223
17.1468,1,1937,0.0265
18.4257,1,1941,9.50147
18.2739,1,1980,3.3678
17.1088,1,2014,0.1202
17.9779,1,1968,8.01219
17.4518,1,1991,15.5629
17.6556,1,1936,5.30771
17.7822,1,1963,0.58449
18.8171,1,1985,7.44035
18.8875,1,1986,5.97641
17.8553,1,2000,20.0385
18.8691,1,1973,4.79803
18.3725,1,1929,16.7175
18.9548,1,1952,2.819
18.0454,1,1975,2.66038
19.7673,1,1958,4.36869
18.5789,1,1996,7.05748
17.988,1,1955,4.17168
17.8687,1,1970,16.7087
17.5423,1,1906,13.9546
17.7947,1,1984,15.9246
17.8246,1,1940,0.09005
19.0652,1,1961,6.16273
17.0844,1,1962,8.66949
18.2838,1,2004,3.8527
19.4921,1,2006,0.00249
17.7884,1,1951,1.46508
19.4068,1,1943,29.3725
18.4592,1,1947,2.18307
17.7492,1,1995,9.51787
17.5061,1,1989,2.88141
18.8711,1,1915,5.29986
18.9095,1,1919,10.3983
19.2912,1,1931,2.36234
18.7662,1,2002,16.0598
18.6795,1,2010,0.02014
