Year,season,avg_temperature,avg_rainfall,total_rainfall
1901,Autumn,24.6279,162.728,325.456
1901,Monsoon,28.1888,416.677,1666.708
1901,Summer,26.79613333,134.7249,404.1747
1901,Winter,18.47866667,12.16025,36.48075
1902,Autumn,24.003,40.566165,81.13233
1902,Monsoon,27.929475,415.5175,1662.07
1902,Summer,26.4745,198.1848667,594.5546
1902,Winter,18.97463333,2.652476667,7.95743
1903,Autumn,24.6471,121.95835,243.9167
1903,Monsoon,27.9817,418.1815,1672.726
1903,Summer,27.01243333,107.2076333,321.6229
1903,Winter,18.5414,6.3739,19.1217
1904,Autumn,24.2198,52.96995,105.9399
1904,Monsoon,27.7812,445.5845,1782.338
1904,Summer,26.48073333,173.005,519.015
1904,Winter,18.84336667,14.25879333,42.77638
1905,Autumn,24.5947,69.273505,138.54701
1905,Monsoon,28.062525,508.112,2032.448
1905,Summer,25.17583333,199.2400333,597.7201
1905,Winter,17.833,12.53270333,37.59811
1906,Autumn,24.6139,117.41925,234.8385
1906,Monsoon,28.122725,361.701,1446.804
1906,Summer,26.4947,104.1876333,312.5629
1906,Winter,18.72953333,26.55047333,79.65142
1907,Autumn,24.76695,30.31442,60.62884
1907,Monsoon,27.9443,342.53075,1370.123
1907,Summer,25.65463333,157.7376667,473.213
1907,Winter,19.1556,17.68353333,53.0506
1908,Autumn,24.3672,36.702225,73.40445
1908,Monsoon,28.08175,544.17775,2176.711
1908,Summer,27.49383333,111.5506367,334.65191
1908,Winter,18.6089,6.88234,20.64702
1909,Autumn,25.2774,89.20745,178.4149
1909,Monsoon,27.7833,421.67675,1686.707
1909,Summer,26.81643333,168.9426133,506.82784
1909,Winter,19.32306667,6.413076667,19.23923
1910,Autumn,24.29145,101.509,203.018
1910,Monsoon,27.716425,473.897,1895.588
1910,Summer,26.3933,142.3572333,427.0717
1910,Winter,18.65343333,10.74216,32.22648
1911,Autumn,24.06695,84.5413,169.0826
1911,Monsoon,27.77805,555.48625,2221.945
1911,Summer,26.14693333,166.8110333,500.4331
1911,Winter,18.8095,6.856636667,20.56991
1912,Autumn,24.3046,174.197,348.394
1912,Monsoon,27.93925,355.3245,1421.298
1912,Summer,26.07963333,173.1581333,519.4744
1912,Winter,19.17146667,12.32005667,36.96017
1913,Autumn,23.90965,132.864,265.728
1913,Monsoon,27.6239,551.924,2207.696
1913,Summer,26.23873333,165.087,495.261
1913,Winter,19.00153333,24.52753333,73.5826
1914,Autumn,23.95945,31.820275,63.64055
1914,Monsoon,27.807375,425.397,1701.588
1914,Summer,25.92666667,198.2791,594.8373
1914,Winter,19.29553333,16.90164,50.70492
1915,Autumn,26.31025,96.48765,192.9753
1915,Monsoon,27.9641,479.98725,1919.949
1915,Summer,26.45206667,221.5724,664.7172
1915,Winter,19.40963333,13.00004667,39.00014
1916,Autumn,24.84525,211.3859,422.7718
1916,Monsoon,27.766,414.99175,1659.967
1916,Summer,27.30723333,179.407,538.221
1916,Winter,18.83783333,3.569433333,10.7083
1917,Autumn,24.73265,186.7706,373.5412
1917,Monsoon,27.699875,427.44325,1709.773
1917,Summer,25.98523333,160.8651667,482.5955
1917,Winter,18.65396667,12.72263333,38.1679
1918,Autumn,24.6315,43.646685,87.29337
1918,Monsoon,27.579275,449.5655,1798.262
1918,Summer,26.39023333,170.9065333,512.7196
1918,Winter,18.5598,3.462183333,10.38655
1919,Autumn,24.76285,67.5971,135.1942
1919,Monsoon,27.889275,520.04325,2080.173
1919,Summer,27.056,164.57544,493.72632
1919,Winter,19.17853333,7.503526667,22.51058
1920,Autumn,25.03715,62.437005,124.87401
1920,Monsoon,28.2237,430.644,1722.576
1920,Summer,26.27773333,153.3224667,459.9674
1920,Winter,19.41113333,9.552053333,28.65616
1921,Autumn,23.9457,57.5437,115.0874
1921,Monsoon,27.98035,453.9035,1815.614
1921,Summer,27.2683,161.5237667,484.5713
1921,Winter,19.50923333,11.41532,34.24596
1922,Autumn,24.4955,46.773075,93.54615
1922,Monsoon,27.7516,584.63275,2338.531
1922,Summer,27.71033333,138.8687,416.6061
1922,Winter,19.56556667,4.613333333,13.84
1923,Autumn,24.5637,66.3559,132.7118
1923,Monsoon,28.20425,386.13025,1544.521
1923,Summer,27.00503333,160.1921333,480.5764
1923,Winter,19.31696667,19.18684,57.56052
1924,Autumn,25.01355,131.47,262.94
1924,Monsoon,28.028975,553.84025,2215.361
1924,Summer,27.85226667,123.0199833,369.05995
1924,Winter,19.36303333,5.028993333,15.08698
1925,Autumn,24.17805,69.596885,139.19377
1925,Monsoon,27.814075,472.1415,1888.566
1925,Summer,26.33136667,205.1118667,615.3356
1925,Winter,18.15926667,5.576156667,16.72847
1926,Autumn,24.2972,94.50339,189.00678
1926,Monsoon,28.201725,418.529,1674.116
1926,Summer,26.11383333,144.2569667,432.7709
1926,Winter,19.45933333,16.0123,48.0369
1927,Autumn,24.78225,87.7276,175.4552
1927,Monsoon,28.04955,515.52225,2062.089
1927,Summer,26.0407,124.9741,374.9223
1927,Winter,19.0841,18.6297,55.8891
1928,Autumn,24.54185,138.8489,277.6978
1928,Monsoon,28.01225,476.24,1904.96
1928,Summer,27.0668,149.7267267,449.18018
1928,Winter,19.70023333,5.752636667,17.25791
1929,Autumn,24.3049,123.644015,247.28803
1929,Monsoon,28.009425,433.32575,1733.303
1929,Summer,26.98353333,157.2929,471.8787
1929,Winter,18.88126667,8.795053333,26.38516
1930,Autumn,24.54025,125.8215,251.643
