Year,avg_temp,prev_year_temp,temp_change,temp_change_percent
1901,24.81961667,,,
1902,24.67260833,24.81961667,-0.1470083333,-0.592307026
1903,24.82354167,24.67260833,0.1509333333,0.6117445359
1904,24.62805833,24.82354167,-0.1954833333,-0.7874917123
1905,24.2055,24.62805833,-0.4225583333,-1.715759836
1906,24.78261667,24.2055,0.5771166667,2.384237742
1907,24.64515,24.78261667,-0.1374666667,-0.5546898801
1908,24.94746667,24.64515,0.3023166667,1.226678136
1909,25.008875,24.94746667,0.06140833333,0.2461505777
1910,24.54906667,25.008875,-0.4598083333,-1.838580637
1911,24.50961667,24.54906667,-0.03945,-0.1606985737
1912,24.676625,24.50961667,0.1670083333,0.6813992059
1913,24.502975,24.676625,-0.17365,-0.7037023904
1914,24.56791667,24.502975,0.06494166667,0.2650358443
1915,25.17183333,24.56791667,0.6039166667,2.458151722
1916,24.932475,25.17183333,-0.2393583333,-0.9508974979
1917,24.5152,24.932475,-0.417275,-1.673620449
1918,24.53585,24.5152,0.02065,0.08423345516
1919,24.9822,24.53585,0.44635,1.819174799
1920,25.002975,24.9822,0.020775,0.08315920936
1921,25.01211667,25.002975,0.009141666667,0.03656231575
1922,25.15209167,25.01211667,0.139975,0.5596287666
1923,25.07586667,25.15209167,-0.076225,-0.3030563065
1924,25.31574167,25.07586667,0.239875,0.9565970468
1925,24.42369167,25.31574167,-0.89205,-3.523696883
1926,24.8434,24.42369167,0.4197083333,1.718447559
1927,24.761425,24.8434,-0.081975,-0.3299669127
1928,25.11948333,24.761425,0.3580583333,1.446032825
1929,24.85349167,25.11948333,-0.2659916667,-1.058905803
1930,24.79355833,24.85349167,-0.05993333333,-0.2411465324
1931,25.17768333,24.79355833,0.384125,1.54929355
1932,25.132875,25.17768333,-0.04480833333,-0.1779684522
1933,24.80751667,25.132875,-0.3253583333,-1.294552785
1934,24.92468333,24.80751667,0.1171666667,0.4723030856
1935,25.1727,24.92468333,0.2480166667,0.9950644642
1936,24.9872,25.1727,-0.1855,-0.7369094297
1937,24.92246667,24.9872,-0.06473333333,-0.2590659751
1938,25.11333333,24.92246667,0.1908666667,0.7658417974
1939,25.2209,25.11333333,0.1075666667,0.428324927
1940,25.04078333,25.2209,-0.1801166667,-0.7141563809
1941,25.35009167,25.04078333,0.3093083333,1.235218281
1942,25.35761667,25.35009167,0.007525,0.02968431081
