tem,Month,Year,rain
16.976,1,1901,18.5356
19.9026,2,1901,16.2548
24.3158,3,1901,70.7981
28.1834,4,1901,66.1616
27.8892,5,1901,267.215
28.8925,6,1901,341.042
28.3327,7,1901,540.907
27.9243,8,1901,493.21
27.6057,9,1901,291.549
27.0887,10,1901,199.171
22.1671,11,1901,126.285
18.5574,12,1901,1.69035
18.5455,1,1902,1.29152
20.1252,2,1902,0.14722
25.5508,3,1902,62.7686
26.5562,4,1902,229.589
27.3165,5,1902,302.197
28.266,6,1902,528.775
27.6247,7,1902,415.257
28.1001,8,1902,435.166
27.7271,9,1902,282.872
26.0153,10,1902,76.6518
21.9907,11,1902,4.48053
18.2532,12,1902,6.51869
17.7023,1,1903,2.4001
19.5474,2,1903,16.7112
24.3562,3,1903,35.0165
28.0898,4,1903,79.8924
28.5913,5,1903,206.714
27.906,6,1903,606.088
28.6851,7,1903,376.786
27.5889,8,1903,401.075
27.7468,9,1903,288.777
26.8644,10,1903,190.116
22.4298,11,1903,53.8007
18.3745,12,1903,0.0104
17.7866,1,1904,0.3257
19.9656,2,1904,40.4723
25.0148,3,1904,32.017
27.3117,4,1904,169.242
27.1157,5,1904,317.756
27.8145,6,1904,525.691
27.4404,7,1904,707.404
27.9148,8,1904,367.376
27.9551,9,1904,181.867
26.2871,10,1904,72.9881
22.1525,11,1904,32.9518
18.7779,12,1904,1.97838
17,1,1905,7.07224
17.8269,2,1905,22.9071
22.9851,3,1905,78.9631
25.4188,4,1905,203.005
27.1236,5,1905,315.752
29.0868,6,1905,224.887
27.8607,7,1905,559.799
27.4862,8,1905,624.073
27.8164,9,1905,623.689
26.5021,10,1905,133.63
22.6873,11,1905,4.91701
18.6721,12,1905,7.61877
17.5423,1,1906,13.9546
19.4317,2,1906,65.6833
23.0485,3,1906,53.425
27.9907,4,1906,29.6299
28.4449,5,1906,229.508
28.2983,6,1906,357.968
28.3345,7,1906,487.922
27.4695,8,1906,388.641
28.3886,9,1906,212.273
26.428,10,1906,185.89
22.7998,11,1906,48.9485
19.2146,12,1906,0.01352
19.0642,1,1907,10.7854
19.7055,2,1907,28.6799
23.1507,3,1907,123.023
26.1498,4,1907,115.429
27.6634,5,1907,234.761
27.8377,6,1907,549.54
27.8421,7,1907,327.091
28.1978,8,1907,223.517
27.8996,9,1907,269.975
26.7797,10,1907,51.2185
22.7542,11,1907,9.41034
18.6971,12,1907,13.5853
17.2889,1,1908,7.99686
20.212,2,1908,12.5831
25.0639,3,1908,8.35921
29.3307,4,1908,44.7567
28.0869,5,1908,281.536
28.3117,6,1908,786.245
27.9535,7,1908,454.244
